Price,Close,High,Low,Open,Volume
Ticker,BEL.NS,BEL.NS,BEL.NS,BEL.NS,BEL.NS
Date,,,,,
2023-06-26,118.97639465332031,120.10343776431831,117.60434249545676,118.58437868291891,17369553
2023-06-27,116.0362777709961,120.15242647237127,115.54625971239989,119.66240841377508,19093714
2023-06-28,118.33937072753906,119.95643194718286,115.7422733113939,116.77131430855344,61890385
2023-06-30,123.23954010009766,124.17057140823175,118.33935957921902,118.97638454234966,27973500
2023-07-03,121.27947235107422,123.4845536665483,120.25043141302004,123.4845536665483,15492508
2023-07-04,119.6134033203125,121.7204748536687,119.1233852935633,121.5244706338017,7595425
2023-07-05,119.31939697265625,121.27946920218653,118.63337468315352,120.10342885530123,15615891
2023-07-06,122.30851745605469,122.60252382188497,119.46641105719951,119.85842702205585,16906327
2023-07-07,121.573486328125,123.38655169424814,121.18147037615941,121.8674926842874,22837962
2023-07-10,120.54444122314453,122.1615022959446,120.05442316939191,121.72048156131797,9068813
2023-07-11,124.85659790039062,126.0816355214737,120.9364535862627,120.98545090394016,46215137
2023-07-12,125.10161590576172,125.93464513693193,124.0235776373601,125.7386408979798,18031857
2023-07-13,122.9945297241211,126.22865182323756,122.50451167741144,125.19961093431449,12374030
2023-07-14,124.61158752441406,124.95459865275035,121.62247452659398,123.48454455095329,9577719
2023-07-17,124.61158752441406,125.68962570364889,123.87656047351554,125.2486124639425,9411535
2023-07-18,124.56258392333984,125.73863170229164,122.74951867583964,125.1506040742748,8994063
2023-07-19,124.36659240722656,125.19962166259836,124.17058068549736,125.19962166259836,8975718
2023-07-20,123.48455047607422,124.70959561968607,123.04353721520683,124.4645865909637,10187180
2023-07-21,122.45550537109375,124.1215711956004,122.25950114566092,123.82755738036926,9926528
2023-07-24,123.48455047607422,125.19961367713081,122.50451436118475,122.84752550597963,13121674
2023-07-25,124.51360321044922,124.6606026599749,122.84753717069026,124.0235851064759,7151050
2023-07-26,123.48455047607422,124.80759773575858,123.14153933127933,124.51359138754104,12681896
2023-07-27,124.7095947265625,126.22865368459513,123.48454959172398,123.68055382246528,11597763
2023-07-28,127.55168914794922,129.0707480546552,125.44461756888731,126.66966266233348,37245053
2023-07-31,128.09072875976562,128.3847426115412,126.2776707564532,127.69872026017529,16197160
2023-08-01,127.845703125,130.5898071286678,127.4536946762605,128.38472595763963,17079508
2023-08-02,122.84751892089844,128.09071035908627,121.23045792259481,127.84570134349728,20816954
2023-08-03,122.16150665283203,123.97457202096324,121.03446359358861,123.04354067646089,12415922
2023-08-04,125.05261993408203,125.4936407184766,122.99454537148964,123.77857733680244,10589274
2023-08-07,125.983642578125,126.62066005606064,124.07256771307206,125.88563298728998,8339894
2023-08-08,126.57167053222656,127.40470729234282,125.0526188930676,126.13065722858623,12505272
2023-08-09,129.07077026367188,129.75679264321184,126.42467539735127,127.20870738289679,13111006
2023-08-10,126.81665802001953,130.49179318235585,126.52265917036323,128.97274927858743,11116731
2023-08-11,129.4137725830078,130.58981293568579,126.96368228402683,127.60069978009612,10967883
2023-08-14,127.89469909667969,129.31574831803246,126.86565829702329,129.31574831803246,8529502
2023-08-16,128.67874145507812,129.2667541358817,126.86566870906483,128.1397186153852,7062446
2023-08-17,126.70967864990234,129.56483977546358,126.26664080951969,129.41715048012597,7162118
2023-08-18,125.18363952636719,127.59575502934972,124.78982398389998,126.26662663459702,8997702
2023-08-21,127.25117492675781,127.69421276333247,125.18365250373029,125.2328747570122,5063202
2023-08-22,131.23854064941406,131.63234870673946,127.34962974777167,127.6942080422278,20596242
2023-08-23,131.33697509765625,133.30604527916722,130.7462630568909,131.87847240213443,19426832
2023-08-24,132.321533203125,133.40452800044687,131.53391701178097,132.96149013711187,17543374
