Price,Close,High,Low,Open,Volume
Ticker,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS
Date,,,,,
2023-06-26,1002.3840942382812,1008.8259274912846,984.5696050803896,992.1049384359251,3607125
2023-06-27,999.2029418945312,1011.3211828611081,997.294261755309,1002.3841159104668,3330315
2023-06-28,1015.5560913085938,1017.8524900621971,994.9779387235591,999.1929684119178,4426340
2023-06-30,1025.84521484375,1028.897088609494,1016.0034710656433,1017.1765172208211,2430705
2023-07-03,1013.6573486328125,1029.702409491395,1012.066791924661,1025.845245764486,1174135
2023-07-04,1031.5712890625,1034.8219368193097,1011.0229285139949,1016.9577543322847,1863335
2023-07-05,1029.5731201171875,1034.2354521359887,1021.3517856661268,1030.895246804976,1410270
2023-07-06,1040.2001953125,1045.5087254235639,1027.9129716449825,1029.592964578062,2534370
2023-07-07,1030.398193359375,1048.4214681079004,1015.9835538960746,1039.842267490503,2771720
2023-07-10,1024.920654296875,1036.8599623247812,1022.9423789378715,1032.8735590893948,1003625
2023-07-11,1027.087890625,1036.8599788580186,1016.6894455996666,1022.7436211668823,1056805
2023-07-12,1031.6905517578125,1033.6688269806875,1019.9599694553698,1023.9364215780029,1203590
2023-07-13,1022.4353637695312,1034.5039112625545,1020.9342432932293,1031.8893889778396,2034915
2023-07-14,1012.4146728515625,1026.898907676019,1009.2733022231287,1024.930583198272,1942045
2023-07-17,1039.79248046875,1042.8245737663249,1012.6035132304996,1013.9257005563511,1976770
2023-07-18,1032.088134765625,1036.9991164059093,1023.2505764139152,1034.5734174262548,1286955
2023-07-19,1038.1224365234375,1047.7951369195268,1026.242712966515,1030.696441290358,1961585
2023-07-20,1061.5736083984375,1072.5883379427778,1041.8305366459574,1043.6199887801124,6016030
2023-07-21,1051.413818359375,1061.663061558398,1049.3063033919063,1058.3925119016787,1150370
2023-07-24,1071.9918212890625,1080.9686911622725,1049.4354546662928,1049.4354546662928,2119525
2023-07-25,1078.692138671875,1089.5379459661692,1072.0216789756203,1077.6185402703911,2162155
2023-07-26,1088.68310546875,1091.5362052677956,1073.8508940384265,1081.5950740722783,1701060
2023-07-27,1094.9161376953125,1116.1901812386618,1077.6284971911628,1099.4890334556217,7539055
2023-07-28,1110.026611328125,1116.9854027030035,1095.9102545083338,1095.9102545083338,3180540
2023-07-31,1121.448974609375,1125.415476034452,1107.4419554883598,1110.3348584888006,1599490
2023-08-01,1126.73779296875,1135.1479511885152,1114.8183862871476,1121.3297544563434,2122735
2023-08-02,1125.4254150390625,1132.4638131371883,1120.256075691063,1126.7476630679794,1791795
2023-08-03,1125.236572265625,1140.0488808058894,1117.6813374452622,1122.353620184362,2570520
2023-08-04,1123.25830078125,1135.4758675430228,1121.3595108933741,1125.2564777029452,1726520
2023-08-07,1119.510498046875,1130.9029949032658,1117.164405783085,1125.33598602718,2499830
