Price,Close,High,Low,Open,Volume
Ticker,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS
Date,,,,,
2023-06-26,1090.621337890625,1098.5148685563045,1086.4644113804593,1090.3878001309054,1190307
2023-06-27,1092.9566650390625,1097.1135913573523,1083.8019396677741,1090.154212051783,1504039
2023-06-28,1093.1903076171875,1096.6466210200933,1089.6872410471688,1096.1795454774242,1424076
2023-06-30,1109.724609375,1115.3762684081669,1088.285890029744,1093.2835749586534,3036648
2023-07-03,1103.79248046875,1116.310123065184,1097.160033087915,1111.6393694121916,1749952
2023-07-04,1112.2000732421875,1114.4420582781688,1100.9436229671853,1104.1663980593423,1094468
2023-07-05,1116.123779296875,1123.4100894537144,1109.3978229611964,1115.3764128044274,1653610
2023-07-06,1102.9056396484375,1119.1131401996613,1097.580909376791,1116.1239019655688,2334220
2023-07-07,1081.3731689453125,1105.053873860822,1077.8234635837725,1100.5700175043341,2159585
2023-07-10,1050.4527587890625,1085.3900276414681,1046.2490794519786,1083.615118003835,3960400
2023-07-11,1041.4849853515625,1057.2254070862532,1038.7759246122496,1057.2254070862532,4982603
2023-07-12,1037.4215087890625,1050.4528705070973,1029.8547939518944,1045.968899791154,3824027
2023-07-13,1035.7867431640625,1050.3594769249191,1015.4689575654523,1027.5661682055731,12294227
2023-07-14,1075.1610107421875,1080.9060620003938,1038.355553837725,1040.8309626766354,6605038
2023-07-17,1077.7767333984375,1094.824989419691,1068.3418309547403,1076.0952159588412,3159479
2023-07-18,1090.341064453125,1092.9567330167788,1070.9107909520933,1082.634318258776,2431478
2023-07-19,1092.069091796875,1097.5338514378952,1080.8125284931655,1088.285735258892,2242397
2023-07-20,1089.0072021484375,1095.6026772245705,1081.6579124857922,1092.964441187734,1990001
2023-07-21,1050.98876953125,1074.025887749561,1031.7206087352204,1045.8537677589904,5259150
2023-07-24,1048.5860595703125,1062.5307055766548,1046.7958366664375,1055.2757309328622,2672505
2023-07-25,1047.314453125,1054.3338775275324,1041.237124499645,1053.8627721309606,2506726
2023-07-26,1050.56494140625,1056.07685105528,1045.94808592513,1046.042283992917,1969964
2023-07-27,1052.7789306640625,1057.819734082426,1044.8643390737675,1050.5647588839518,1769815
2023-07-28,1039.7763671875,1053.8623671252733,1034.0287915453803,1049.669576713486,2031899
2023-07-31,1052.16650390625,1054.804739524657,1032.6627909951087,1043.9693179038143,2526624
2023-08-01,1072.70703125,1076.0047691589812,1047.6442461449376,1055.276130873957,2710536
2023-08-02,1065.5458984375,1071.2933595975014,1056.6890965598925,1071.2933595975014,2701150
2023-08-03,1060.4580078125,1069.927270148077,1050.6119532576672,1060.92911310251,1608187
2023-08-04,1078.2186279296875,1085.7563123858968,1060.9290872114452,1065.1218781838365,3315303
2023-08-07,1084.2958984375,1088.9597944449736,1077.0879650492789,1087.8291878419288,1655404
2023-08-08,1075.3919677734375,1090.0433875534795,1071.2933749621254,1088.1589664893422,1667697
2023-08-09,1078.0303955078125,1079.7734622997828,1059.9870375979542,1075.0152522579613,1559337
2023-08-10,1068.74951171875,1078.6427228533528,1063.4259989145612,1074.1200660425866,1676669
2023-08-11,1103.7525634765625,1118.3568278045198,1087.5937436683832,1092.9642980922872,7391806
2023-08-14,1103.32861328125,1108.9818768847406,1087.31103307136,1102.9988625742349,1720940
2023-08-16,1109.1231689453125,1117.6972619240082,1102.4805385793477,1107.804051175682,2567226
2023-08-17,1108.69921875,1112.7036139868612,1096.6860330394163,1108.8405733497846,2331256
2023-08-18,1105.87255859375,1109.782755669607,1091.6923577735206,1105.213057166184,3406088
2023-08-21,1111.101806640625,1120.1941615785863,1101.396991833403,1105.165834086159,1661946
2023-08-22,1111.3375244140625,1118.4041046879968,1108.1811415615628,1113.6930511720407,1805887
2023-08-23,1114.1640625,1125.941695295983,1110.5365746020263,1124.0101175110638,2347850
