Price,Close,High,Low,Open,Volume
Ticker,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS
Date,,,,,
2023-06-26,23571.123046875,24011.52454892468,22480.634084227375,22505.645441523182,438935
2023-06-27,23885.376953125,24142.298394004272,23509.61611372932,23976.718813644595,154928
2023-06-28,23920.43359375,24165.619504058115,23695.980094195245,23917.05200042776,71538
2023-06-30,23754.404296875,24076.166480864624,23718.156570368497,23947.879596270177,46765
2023-07-03,23987.658203125,24076.166207771497,23817.60349756825,24066.221488148294,30015
2023-07-04,23948.82421875,24065.128884621085,23837.544355741495,23987.65912730603,17326
2023-07-05,24297.435546875,24424.032601105584,23870.906145575893,23879.26009829377,43292
2023-07-06,24084.669921875,24414.28687961788,24046.332250474963,24414.23637908812,22295
2023-07-07,23751.322265625,24133.399570411926,23591.709510882407,24084.670442795807,35053
2023-07-10,23884.533203125,23957.825012779685,23623.732920463364,23774.84216431547,24408
2023-07-11,23822.923828125,24212.21104797667,23430.655134677625,23942.211906874396,105568
2023-07-12,24127.283203125,24205.945549317705,23594.842509525766,23688.32287688206,62988
2023-07-13,24019.431640625,24376.398529309576,23882.245005583718,24177.603188663394,32096
2023-07-14,24205.099609375,24270.087962903894,23868.71947196659,24137.82319342771,20770
2023-07-17,23984.623046875,24391.760235668407,23936.9388956779,24304.89350271574,36264
2023-07-18,23815.86328125,24119.67446713715,23321.263036979206,24026.39221971095,17119
2023-07-19,23895.47265625,23991.538264277762,23773.797451549315,23917.051922009286,29499
2023-07-20,23279.642578125,23614.48048086953,23220.918237086786,23480.774514461224,101108
2023-07-21,22961.115234375,23329.368990410312,22898.712116797953,23298.540358619262,37839
2023-07-24,23108.544921875,23193.3741569478,22962.555661295668,23071.749459375136,35964
2023-07-25,23550.88671875,23578.879550418325,23071.749353942512,23194.069404396607,32141
2023-07-26,24140.310546875,24205.448462828794,23434.136368641583,23618.709983245022,87313
2023-07-27,23737.599609375,24179.939584078016,23633.27910940651,24165.66929952108,36633
2023-07-28,23915.11328125,24051.155886162596,23741.577916345002,23926.69732624791,22865
2023-07-31,23975.12890625,24164.674879031485,23668.433356144258,23668.433356144258,30798
2023-08-01,23968.81640625,24066.224168878263,23848.285225594027,24066.224168878263,47864
2023-08-02,23912.177734375,23966.774634352067,23772.852598928883,23966.774634352067,34126
2023-08-03,23981.044921875,24089.84054458708,23728.499540333745,23907.106318876038,24563
2023-08-04,24090.287109375,24151.746254028327,23969.26064760429,24096.055823729985,18589
2023-08-07,24119.375,24265.11564157353,23909.939595264157,24265.11564157353,8891
2023-08-08,24135.884765625,24242.739999892165,23986.81303161601,24165.668423643918,20046
2023-08-09,24196.548828125,24237.271679754635,23879.26175834024,24215.3932956682,30445
2023-08-10,24040.912109375,24260.142668838373,23794.679306289232,24066.31970172319,37905
2023-08-11,23977.31640625,24145.78035286121,23918.145321777378,24045.488239325765,12901
2023-08-14,23589.423828125,23996.360997933953,23520.257522856056,23967.76992762901,16303
2023-08-16,23788.267578125,23841.124153617544,23376.10943288682,23559.041781140913,17783
2023-08-17,23659.6328125,23905.8636902065,23589.025300794747,23827.54902053342,22943
2023-08-18,23407.134765625,23713.13300588496,23321.361560448728,23679.3714603149,19865
2023-08-21,23479.68359375,23643.5733671442,23394.20949661585,23539.10329968846,24001
2023-08-22,23730.787109375,23800.600211795754,23527.518578797783,23598.821446946407,16676
2023-08-23,23539.6484375,24155.723814320565,23494.399963496227,23737.746474229247,40294
2023-08-24,23727.703125,23787.769620701834,23467.60014556848,23618.658884573266,48660
2023-08-25,23720.443359375,23766.78536239123,23480.47650809695,23688.321139421005,21989
