Price,Close,High,Low,Open,Volume
Ticker,SRF.NS,SRF.NS,SRF.NS,SRF.NS,SRF.NS
Date,,,,,
2023-06-26,2324.9052734375,2335.6418345516586,2287.525361664474,2305.4199538026573,385721
2023-06-27,2294.832275390625,2339.4194857529956,2290.1596046745512,2336.238273667208,482877
2023-06-28,2294.584228515625,2318.344176811074,2285.537419592049,2306.4144469132466,527587
2023-06-30,2276.043212890625,2316.3558056032966,2271.7188315839976,2301.2448634823268,625027
2023-07-03,2261.03173828125,2294.3355657396864,2251.7363938316,2286.5314374448917,1030599
2023-07-04,2261.081298828125,2285.5373413660154,2258.2978894493463,2285.5373413660154,573277
2023-07-05,2211.62255859375,2271.6192516685933,2206.9998856473862,2261.1807386959367,813062
2023-07-06,2262.1748046875,2268.139669037368,2197.1578803583175,2197.1578803583175,747694
2023-07-07,2210.18115234375,2276.1924673382796,2207.248475740831,2267.6427308478033,756374
2023-07-10,2174.988525390625,2209.9823494076536,2168.228296922219,2209.9823494076536,885168
2023-07-11,2162.611328125,2185.3771294895287,2145.661123750764,2177.1754411836996,702317
2023-07-12,2197.25732421875,2201.8802400848303,2141.933300049792,2172.2049404952777,1015129
2023-07-13,2160.72216796875,2217.736421862298,2147.3509800840243,2217.736421862298,1174350
2023-07-14,2174.690185546875,2193.8772149261204,2165.295572487504,2175.1872575892858,833850
2023-07-17,2226.037353515625,2231.8531927727004,2179.3623430820076,2188.011347001792,908206
2023-07-18,2212.96484375,2240.999659805178,2204.564374354329,2235.5318670645556,502144
2023-07-19,2228.125244140625,2236.82400415679,2207.0494398436463,2212.964548112451,366692
2023-07-20,2229.467529296875,2246.715782827038,2222.9558372690026,2241.79481835333,356230
2023-07-21,2199.792236328125,2235.8299579717336,2181.1520354779827,2213.8097644518116,503609
2023-07-24,2131.792724609375,2217.1895947665435,2118.819097225488,2215.0025265691324,1884393
2023-07-25,2151.42724609375,2170.2164716452353,2028.0538718077325,2046.942608849079,2524900
2023-07-26,2131.743408203125,2149.3397116014216,2097.6442143751156,2135.421693117416,1695840
2023-07-27,2149.488525390625,2155.801437382723,2127.5180868501907,2144.170000189439,1194705
2023-07-28,2157.39208984375,2175.0876596817725,2142.380417674966,2160.9211070358942,370186
2023-07-31,2157.839599609375,2175.087854715794,2148.2459630851868,2169.8685980098426,577609
2023-08-01,2241.6357421875,2249.3531586720183,2158.885024314284,2173.8219594456095,1623153
2023-08-02,2255.87548828125,2282.3637512261457,2223.6118047504287,2243.527718809994,1539747
2023-08-03,2251.59375,2265.4352129565664,2237.204307672511,2265.4352129565664,403126
2023-08-04,2257.269775390625,2270.414230205821,2250.4983159057697,2255.477294480783,305218
2023-08-07,2274.546630859375,2285.351111354808,2252.738802467283,2266.4309932215874,454625
2023-08-08,2268.37255859375,2284.8530245433167,2248.207697514211,2284.8530245433167,551151
2023-08-09,2290.031005859375,2303.076024970373,2256.5225824356758,2270.4138819060868,404765
2023-08-10,2284.604248046875,2302.279621438106,2278.8784228638,2297.300643018041,597471
2023-08-11,2286.0478515625,2304.270959197132,2253.5352233035,2284.6039966024287,414625
2023-08-14,2282.463134765625,2286.8445380500834,2254.63045395229,2285.3508446875426,253654
2023-08-16,2291.97314453125,2295.8568937464643,2250.598026444309,2270.414264224097,389707
2023-08-17,2285.998046875,2303.972205881112,2277.384512274936,2295.308832878761,258200
2023-08-18,2268.223388671875,2287.840514427373,2259.4603382962828,2285.351025293067,306479
2023-08-21,2291.77392578125,2297.6492661788525,2265.4351785914514,2268.2234551264,257609
2023-08-22,2291.076904296875,2313.2333581143716,2282.3138537147597,2295.3090359249363,180191
2023-08-23,2301.084716796875,2323.1913323740837,2286.546002554777,2287.3426877253623,420237
2023-08-24,2300.337646484375,2324.1869021920925,2295.5079406373275,2308.2541727854627,345769
2023-08-25,2300.536865234375,2309.947085360146,2284.902922391272,2291.3257556127246,270711
2023-08-28,2302.13037109375,2309.1505362410608,2291.3757289819073,2305.2171918748622,227518
2023-08-29,2364.367431640625,2376.9641490095255,2301.5326306653815,2307.2584554901846,1162898
2023-08-30,2359.388671875,2376.9643689789177,2351.471901458479,2376.9643689789177,443739
2023-08-31,2346.592529296875,2374.9727062902807,2340.3688062720053,2374.9727062902807,648345
2023-09-01,2374.026611328125,2386.922116064925,2342.1113128847323,2346.2936058920504,510493
2023-09-04,2401.311279296875,2412.2151926225465,2365.0145778719466,2379.95151204798,722079
2023-09-05,2409.37744140625,2421.7750487690955,2395.984038381904,2408.82970516959,386564
2023-09-06,2443.682373046875,2454.6361245153003,2401.062273255989,2414.8043009937537,682571
2023-09-07,2452.694580078125,2462.1048005615817,2438.2555428250844,2445.5744951503602,309914
2023-09-08,2430.040283203125,2465.092243045324,2427.7499044817205,2459.5156899074855,431834
2023-09-11,2426.5546875,2448.611462074402,2415.3519873656564,2430.7369802606577,256721
2023-09-12,2364.168212890625,2439.6495739445754,2355.0567796779233,2438.653778266065,319884
2023-09-13,2385.57763671875,2392.747559544578,2350.3764080560577,2355.0565987626906,149596
2023-09-14,2389.312255859375,2404.8467670037126,2365.5128343757015,2378.9560771726165,460211
2023-09-15,2360.533447265625,2403.8007170497503,2356.849052203629,2396.8301479162933,405072
2023-09-18,2358.740966796875,2363.620511059238,2311.9884124417204,2331.15747756049,528852
2023-09-20,2310.0966796875,2358.293092815424,2302.179909628595,2355.0567568915776,580839
2023-09-21,2305.9140625,2327.124558125871,2294.3131406102034,2317.2164401909477,335304
2023-09-22,2255.029052734375,2315.324527026306,2250.547972379116,2312.2374633136824,359377
2023-09-25,2228.98876953125,2265.3851472644715,2220.7734558469624,2260.4560076767307,597945
2023-09-26,2230.5322265625,2265.285637639575,2224.159232193979,2232.5736560929977,568665
2023-09-27,2252.191162109375,2262.4479067885172,2218.6827329186817,2238.548809181596,392260
2023-09-28,2222.914794921875,2260.456244276673,2214.8985908953255,2260.456244276673,642092
2023-09-29,2239.942626953125,2255.925195680605,2217.0891655197834,2236.557019005286,172256
2023-10-03,2246.017333984375,2255.4773936930214,2223.6617678220455,2248.506823381387,432577
2023-10-04,2237.652587890625,2245.419599766166,2210.666427498462,2240.540298140333,454546
2023-10-05,2251.792724609375,2256.4729154846777,2229.038697037659,2237.702070464568,210258
2023-10-06,2236.10888671875,2270.413996953393,2228.590581220041,2255.3773859559747,191139
2023-10-09,2197.12353515625,2221.7694787303744,2188.758948522221,2218.6328195211595,363638
2023-10-10,2220.972900390625,2226.5990485045504,2190.5014565956553,2213.603866794514,374416
2023-10-11,2240.5400390625,2270.41390625,2229.387177268664,2231.57787890625,551311
2023-10-12,2255.078857421875,2258.514303686708,2241.5359397494685,2257.4188312594674,252564
2023-10-13,2245.96728515625,2252.987693220945,2225.5036356071428,2250.498204057165,304818
2023-10-16,2243.92578125,2258.4644947315937,2230.582217018858,2230.6320554233216,386468
2023-10-17,2266.978515625,2291.5247798524438,2238.548502699644,2248.506458672507,466647
2023-10-18,2236.85595703125,2278.3805896088893,2215.994085482625,2278.3805896088893,346382
2023-10-19,2244.971435546875,2252.4399028587573,2208.4756225284787,2230.582237148816,416271
2023-10-20,2224.607666015625,2247.510967859116,2218.6328916216708,2241.536193465162,287602
2023-10-23,2163.515380859375,2232.0261720747258,2159.084138718596,2210.7660802346545,337697
2023-10-25,2134.73681640625,2186.5181875797193,2131.0025829081633,2169.5896623883928,295526
2023-10-26,2097.494384765625,2131.9487703606355,2073.4956109803293,2128.8619495373287,520179
2023-10-27,2165.955322265625,2181.7883766349655,2087.187785224504,2111.136720409673,869519
2023-10-30,2172.228515625,2188.758820523393,2144.9438122872557,2163.814091075212,510094
2023-10-31,2186.070068359375,2204.691396937416,2161.872187331134,2170.834347481286,273868
2023-11-01,2174.219970703125,2190.6010024747266,2150.9682897938383,2180.792318772485,364774
2023-11-02,2229.038818359375,2239.046613687821,2180.792565699946,2180.792565699946,317319
2023-11-03,2243.876220703125,2259.4104869436756,2226.399958457605,2242.5317993326344,224509
2023-11-06,2327.37353515625,2339.62187022461,2250.547998314739,2280.7206550106976,845207
2023-11-07,2331.356689453125,2340.1197396542384,2311.988512996693,2328.120353642965,230686
2023-11-08,2342.708984375,2351.2726812461487,2325.53150911232,2339.124022726683,293823
2023-11-09,2327.52294921875,2346.592337764809,2320.303431099168,2346.2437120581994,110366
2023-11-10,2341.314697265625,2345.0489309748295,2305.3666199601867,2318.212286674181,122114
2023-11-13,2327.12451171875,2348.086058018123,2315.7227005602817,2335.63861284203,106449
2023-11-15,2350.87451171875,2354.5589071460045,2328.2699981964333,2339.1240739631908,256187
2023-11-16,2344.152587890625,2356.002457815283,2337.6300783463175,2350.874207924209,179132
