Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2023-06-26,3044.828125,3067.9770862628,3028.934189149077,3059.481272052566,1978803
2023-06-27,3052.178466796875,3063.91981443363,3037.811746370758,3056.6172462150894,863542
2023-06-28,3069.456787109375,3084.2530305349196,3048.40789097995,3062.3450909127628,1575872
2023-06-30,3152.3154296875,3159.7135505384585,3068.1678644566273,3073.799889043455,2672406
2023-07-03,3123.725341796875,3168.1140672273477,3120.336478513081,3163.818384121173,1687264
2023-07-04,3158.6162109375,3164.4868852398536,3128.498649626707,3140.6219766030526,1656681
2023-07-05,3169.2119140625,3177.8510571191046,3154.9407461035266,3169.259690488263,1453008
2023-07-06,3172.02783203125,3177.325887906941,3152.0768633384073,3156.4203229502164,1848238
2023-07-07,3178.089599609375,3204.4840929844254,3152.0768515161544,3152.0768515161544,1789326
2023-07-10,3123.39111328125,3173.7938412421454,3116.9475886768782,3173.7938412421454,1407431
2023-07-11,3123.82080078125,3145.3947701203024,3112.7476236698058,3145.3947701203024,1110172
2023-07-12,3111.88818359375,3139.8101235602735,3102.533326904245,3131.9824810184095,1515240
2023-07-13,3188.87646484375,3214.555010064371,3124.154794201782,3134.89400172902,4585146
2023-07-14,3355.07177734375,3364.8088460041427,3199.806783075806,3212.216534919477,6306101
2023-07-17,3333.163818359375,3388.721275812519,3319.1790759366195,3350.6329770732114,2743228
2023-07-18,3338.079833984375,3363.997027737994,3307.6758516209275,3318.1764098800413,2600090
2023-07-19,3312.4970703125,3357.172225555866,3289.2047798246485,3341.087184033293,2405370
2023-07-20,3314.650390625,3329.58067671637,3288.5699985506562,3304.8882355533797,1715404
2023-07-21,3223.72802734375,3287.46932452124,3214.875049930617,3257.943588697209,3770223
2023-07-24,3249.042236328125,3266.9395575372555,3227.364501778143,3235.8824069593907,1680132
2023-07-25,3253.25341796875,3260.57520897923,3235.116826411627,3251.674331846241,1272980
2023-07-26,3242.86962890625,3274.022585622893,3239.7112226363165,3254.4024733440024,1066803
2023-07-27,3251.100341796875,3265.2172517500994,3239.759100099317,3249.234085179482,1701769
2023-07-28,3211.38134765625,3248.0375037034178,3188.0287239595573,3239.710966857731,2599831
2023-07-31,3274.596435546875,3279.5731973921293,3216.645281242585,3219.995056246743,2743678
2023-08-01,3303.88330078125,3311.4920290868263,3268.423491136275,3268.423491136275,1956167
2023-08-02,3292.972412109375,3298.475614093608,3267.0836227477466,3287.5171107877936,1914899
2023-08-03,3254.019287109375,3285.8900507101903,3223.4406730625274,3273.20875946373,2026351
2023-08-04,3295.747802734375,3322.019561523146,3255.263334379314,3255.263334379314,2248493
2023-08-07,3334.509765625,3338.290179388226,3293.546754535474,3305.701606105365,1853889
2023-08-08,3321.63720703125,3340.156538437801,3308.238106129408,3334.509867951021,1634225
2023-08-09,3313.884765625,3318.191619472022,3278.042217563808,3316.1816608787017,1794589
2023-08-10,3294.360107421875,3316.181311015185,3282.8272643825658,3301.9209343575876,1096701
2023-08-11,3300.7724609375,3317.8561723971316,3267.466081563553,3290.531767461083,1679974
2023-08-14,3301.77783203125,3306.706693551138,3264.5952334885474,3293.0204222984407,1190425
