Price,Close,High,Low,Open,Volume
Ticker,TORNTPHARM.NS,TORNTPHARM.NS,TORNTPHARM.NS,TORNTPHARM.NS,TORNTPHARM.NS
Date,,,,,
2023-06-26,1830.6099853515625,1846.2427734019464,1813.212942256935,1841.6362802706926,233377
2023-06-27,1841.6854248046875,1855.3579833222225,1830.0709645354475,1830.610075726403,166248
2023-06-28,1914.802001953125,1944.7935018530331,1834.4814929861166,1845.5568421263758,1413657
2023-06-30,1867.0704345703125,1901.3744671616994,1861.5328793092224,1898.4831751290424,558543
2023-07-03,1853.2996826171875,1883.8302921759814,1845.7037905262061,1872.019857261208,221209
2023-07-04,1840.4112548828125,1865.3062040538623,1825.6604737618875,1863.100944928054,137674
2023-07-05,1848.4971923828125,1869.42262712727,1829.4829343438132,1840.411242310088,310309
2023-07-06,1861.6307373046875,1880.2529251293404,1847.5661088499237,1860.8465973285697,387583
2023-07-07,1864.4241943359375,1910.244581290967,1853.6429268171069,1860.258704612753,542361
2023-07-10,1873.93115234375,1881.2330821496116,1850.6534170448288,1881.2330821496116,194986
2023-07-11,1902.991455078125,1906.0788415730901,1868.8344677565185,1878.7826599545363,285210
2023-07-12,1891.622314453125,1911.6166882339692,1878.8808169982594,1905.3439270968265,191619
2023-07-13,1891.9652099609375,1904.0696078411033,1880.9389147910163,1899.4631146050758,83865
2023-07-14,1906.52001953125,1910.2445051100472,1878.292773847985,1891.6223165019962,127180
2023-07-17,1904.1678466796875,1929.4058129241178,1901.4725298963017,1906.5200274308133,116965
2023-07-18,1890.152099609375,1916.1251515355605,1886.7216965247846,1904.1677943550308,95652
2023-07-19,1886.2806396484375,1910.244406952873,1878.8807224877671,1895.4936262456933,251803
2023-07-20,1891.9652099609375,1903.334521496442,1887.505757922434,1896.2286868313815,217774
2023-07-21,1900.1982421875,1943.666325049889,1876.9205074347194,1876.9205074347194,247640
2023-07-24,1902.4034423828125,1914.654881347153,1891.6712297072336,1908.2350794726551,170993
2023-07-25,1933.277099609375,1942.5881933717521,1902.9425841038671,1910.1464064019563,299707
2023-07-26,1931.6109619140625,1953.5654452918764,1920.0455554279602,1942.1961336191596,216093
2023-07-27,1952.389404296875,1968.0712469016692,1924.0151181910112,1935.2864425632072,389701
2023-07-28,1950.7232666015625,1996.0045395030513,1941.6572012981483,1955.574788825663,251110
