,Price,Close,High,Low,Open,Volume,MACD,MACD_Signal,BB_High,BB_Low,BB_Width,ADX,Stoch_K,Stoch_D,Lag_1,Lag_3,Lag_5
35,2023-08-11,2515.89990234375,2564.14990234375,2510.0,2556.800048828125,453278,-16.88853056597509,-11.248227198547875,2734.3380963807763,2449.0618792051614,285.2762171756149,17.257103425923837,34.8850667701663,44.12251350581479,-0.013508025954616754,-0.017265026220250057,0.0011938398330955113
36,2023-08-14,2549.10009765625,2571.89990234375,2480.0,2515.949951171875,474072,-16.262929350451486,-12.251167628928599,2723.3883677532476,2447.176622481127,276.2117452721204,17.649832399300376,54.115531081036075,44.30651603308885,0.01319615111935546,-0.014859597088484722,0.008167116962233711
37,2023-08-16,2458.64990234375,2480.0,2432.050048828125,2468.0,12656820,-22.802853615634376,-14.361504826269755,2720.4210130179204,2430.703962568017,289.7170504499036,18.619689782830147,12.983091117007694,33.994562989403356,-0.03548318694729313,-0.03595592440299533,-0.03962743308567385
38,2023-08-17,2459.75,2481.550048828125,2446.449951171875,2458.64990234375,1259895,-27.57910724551357,-17.00502531011852,2704.822605535841,2422.2273700500964,282.5952354857445,19.48461593947932,13.483363124646113,26.860661774229964,0.00044743973316463403,-0.02231801920714016,-0.04939036788332052
39,2023-08-18,2454.300048828125,2471.39990234375,2405.0,2450.0,2310869,-31.44164841943757,-19.89234993198233,2676.203322756218,2423.2116674781573,252.99165527806053,20.776273207972306,20.122468909438776,15.529641050364196,-0.002215652473574581,-0.03718961405842325,-0.03766151514507521
40,2023-08-21,2449.64990234375,2463.699951171875,2431.699951171875,2458.800048828125,595109,-34.48049836449081,-22.80997961848403,2657.227490948616,2419.2874992857587,237.9399916628572,21.97566924300151,21.780440167682926,18.462090733922604,-0.0018946935549283284,-0.0036605455666626208,-0.02633252616222259
41,2023-08-22,2473.199951171875,2479.199951171875,2436.699951171875,2444.75,950180,-34.58978718000162,-25.165941130787548,2633.764986088403,2423.005009028784,210.7599770596189,22.68592845334185,35.154614006121136,25.685841027747614,0.009613638587943951,0.005468015518599545,-0.029775271106129098
42,2023-08-23,2497.449951171875,2505.5,2479.25,2489.0,1045094,-32.3467537769975,-26.602103660029538,2626.960775063644,2421.1142249363556,205.84655012728854,22.687815848599513,47.654614006121136,34.86322272664173,0.009805110981224718,0.017581347628768285,0.01578103852489865
43,2023-08-24,2482.64990234375,2516.39990234375,2475.5,2515.949951171875,649167,-31.40139812529742,-27.561962553083116,2625.355515390413,2416.999465078337,208.35605031207615,22.424781582768322,40.02572285760309,40.944983623281786,-0.0059260642325106305,0.013471312765316545,0.009309849514686386
44,2023-08-25,2458.14990234375,2492.39990234375,2450.949951171875,2470.449951171875,716506,-32.25730012894746,-28.50103006825599,2623.3587829756593,2409.826177961841,213.53260501381828,22.57550930379359,27.396856878221648,38.35906458064863,-0.00986848769005677,-0.006085253568355431,0.0015686156700616127
45,2023-08-28,2482.64990234375,2490.85009765625,2458.949951171875,2479.10009765625,257414,-30.605858107545828,-28.92199567611396,2606.9967012185944,2412.753249953281,194.24345126531352,22.71547075903134,40.02572285760309,35.81610086447594,0.009966845381008005,-0.0059260642325106305,0.013471312765316545
46,2023-08-29,2485.39990234375,2510.5,2475.550048828125,2500.0,615712,-28.7438353488119,-28.886363610653547,2594.2677049728345,2414.7322461990407,179.53545877379383,22.315290514009764,41.44324863079897,36.288609455541234,0.0011076873937818643,0.0011076873937818643,0.004932860833227082
47,2023-08-30,2454.89990234375,2483.050048828125,2412.300048828125,2483.050048828125,1387562,-29.390468966911158,-28.98718468190507,2585.530584527514,2411.8843568787365,173.6462276487773,22.957404241430385,25.721599146262886,35.73019021155498,-0.012271667014728038,-0.0013221325505419212,-0.01703739800998183
48,2023-08-31,2435.0,2464.89990234375,2425.0,2464.89990234375,886676,-31.14961322541467,-29.419670390606992,2577.5932067791796,2406.7917297442577,170.80147703492185,23.55365270260668,17.974845748088857,28.3798978417169,-0.00810619704891069,-0.019193162233130834,-0.019193162233130834
49,2023-09-01,2438.89990234375,2445.25,2403.0,2429.949951171875,562991,-31.861775483425845,-29.908091409170765,2578.1530641127797,2405.3468626450326,172.8062014677471,24.42432590693235,21.255135050750635,21.650526648367457,0.0016016026052361187,-0.01870926282573282,-0.007831092799363448
50,2023-09-04,2455.35009765625,2472.949951171875,2430.0,2461.699951171875,541048,-30.74437391724132,-30.075347910784878,2576.0957617635368,2401.649184525526,174.44657723801083,24.451827005648745,46.16414703564801,28.4647092781625,0.006744924339326719,0.00018338642323878496,-0.010996236183655084
