,Price,Close,High,Low,Open,Volume,MACD,MACD_Signal,BB_High,BB_Low,BB_Width,ADX,Stoch_K,Stoch_D,Lag_1,Lag_3,Lag_5
35,2023-08-11,1789.4886474609375,1798.029335579608,1780.049042223812,1796.0315252067417,4265616,-14.679919812033404,-6.4216050431315335,1954.1164490017313,1771.1890563693623,182.927392632369,30.604962434370012,7.938823810916262,8.683853084379995,-0.005219791629061388,-0.019994543600091452,-0.025591539979752054
36,2023-08-14,1792.1357421875,1800.3767098449564,1783.0457295223664,1787.0413502047693,3299919,-16.673857221739127,-8.472055478853052,1952.8165263393778,1762.361147000466,190.45537933891183,30.74108366856836,10.16506295091069,7.095458870762417,0.0014792464485977597,-0.02042046217771376,-0.020447194089579623
37,2023-08-16,1784.244384765625,1787.8904130620515,1775.553958469303,1785.0435576847508,1883940,-18.67555342286346,-10.512755067655135,1951.749746522755,1753.129782285839,198.61996423691608,31.088343704298403,7.042518318522107,8.382135026783013,-0.004403325728129737,-0.008135087428337351,-0.022866540616386044
38,2023-08-17,1763.766845703125,1785.443161494207,1761.069850464036,1780.04904907936,5131739,-21.664542982315652,-12.74311265058724,1949.0721973900281,1741.8894481177845,207.18274927224365,31.811367008837014,2.226789181254893,6.478123483562555,-0.011476868996950662,-0.014373827849820997,-0.03592687157099561
39,2023-08-18,1748.88330078125,1766.4640081938446,1744.5879595781894,1755.1763304794488,4113292,-24.946745873291775,-15.183839295128148,1934.5733303950337,1735.9617159916852,198.61161440334854,32.88766642919017,3.3870034751786084,4.218770324985196,-0.008438499089680751,-0.024134578864799416,-0.02779238256910843
40,2023-08-21,1758.4227294921875,1770.6593180882192,1746.9353197897906,1749.082990338877,3955468,-26.472998886451478,-17.441671213392816,1909.5411708991103,1740.1937778313584,169.3473930677519,33.61691304963073,11.765665414619791,5.79315269035109,0.005454582765285876,-0.014472039533322878,-0.017360220760734513
41,2023-08-22,1761.169677734375,1770.059958119033,1756.5247443147316,1767.0632426143168,3328812,-27.14796479041661,-19.382929928797576,1901.0733836057284,1735.4171681520843,165.6562154536441,34.29407062575411,16.61989057498497,10.590853154927784,0.0015621660230591417,-0.0014725120698788619,-0.01727886103946985
42,2023-08-23,1778.1011962890625,1779.9491464658715,1752.0796678409315,1767.8624182985438,3338285,-26.016743265907962,-20.709692596219654,1894.294962432646,1732.8151694032915,161.47979302935437,34.250606222226686,34.06091376064061,20.81548991674845,0.009613791770744617,0.01670660100348642,-0.0034430196496706422
43,2023-08-24,1779.0001220703125,1797.0304092479394,1774.305316523987,1787.041357501147,4123791,-24.762262313832707,-21.520206539742265,1881.4777345972839,1734.36566139881,147.1120731984738,33.169354353580076,34.97452988720349,28.551778074276353,0.000505553780137058,0.011702187553084942,0.008636785754476906
44,2023-08-25,1776.9024658203125,1787.3909702738529,1765.0654637529362,1769.260816759685,2043350,-23.66455024523998,-21.94907528084181,1872.1157902750647,1734.4019831624355,137.71380711262918,32.51031277789132,32.8425935049579,33.95934571760066,-0.0011791209140328274,0.008933147262776275,0.016021174784244252
45,2023-08-28,1788.389892578125,1794.6330500507054,1772.7071297816713,1776.9024828285774,1980536,-21.618462014291936,-21.882952627531836,1860.119289379944,1737.9121925536497,122.20709682629422,31.473566773413516,45.60578650497855,37.807636632379975,0.006464860609278977,0.005786338994954399,0.017042069909203095
46,2023-08-29,1781.1478271484375,1795.5820803646657,1777.0523402401082,1794.982639698892,2708692,-20.346751816181722,-21.575712465261816,1851.6658789662474,1739.181215760315,112.48466320593252,30.454187625802223,41.828513290525024,40.09229776682049,-0.004049489129715145,0.001207254036399652,0.011343682364417518
47,2023-08-30,1772.956787109375,1790.9869520267796,1763.0676016701811,1789.0391357457759,2595896,-19.771942156206705,-21.214958403450794,1843.6072285032706,1739.8901347779793,103.7170937252913,30.07797833746415,33.06160247854166,40.16530075801507,-0.0045987424031929125,-0.0022205375853964204,-0.002893203823507884
48,2023-08-31,1756.824462890625,1781.847086104757,1752.379383671055,1772.956805728951,8314010,-20.38318048386236,-21.04860281953311,1840.8398986612813,1736.319451924656,104.52044673662522,30.121617641878256,21.933639405657775,32.27458505824148,-0.009099107398467421,-0.01765019463512829,-0.012465237581816835
49,2023-09-01,1769.160888671875,1777.6515824559658,1752.4292273914607,1761.9688203588403,2695210,-19.64568161290731,-20.76801857820795,1836.9082220471316,1735.1916680895872,101.71655395754442,30.16213985311993,44.04638744582803,33.013876443342475,0.007022002506130942,-0.006729895348300929,-0.004356782264277825
50,2023-09-04,1760.2706298828125,1787.041337032249,1755.37609213228,1775.4540615260248,4697683,-19.55318112894588,-20.525051088355536,1828.6353062850171,1735.842928578264,92.79237770675309,29.54908500126211,29.90453421490195,31.96152035546258,-0.005025127361783621,-0.007155367417186698,-0.015723228369836084
51,2023-09-05,1769.111083984375,1781.047952219818,1761.1697145687858,1763.0676588154677,4257343,-18.55265955501727,-20.13057278168788,1820.4847011834754,1737.9501620977744,82.534539085701,28.97981978167985,46.76197347876967,40.23763171316654,0.005022213034453049,0.006993653238146491,-0.006757857478529972
52,2023-09-06,1768.3619384765625,1775.054554595417,1758.2728983265429,1769.061123347486,6220223,-17.61710970649392,-19.627880166649092,1811.7705975366532,1740.9005938695966,70.87000366705661,28.58751716259598,45.33346372659342,40.66665714008834,-0.0004234587158457037,-0.0004515983822772629,-0.0025916303579536226
53,2023-09-07,1787.0413818359375,1790.3876898293474,1765.3651880248924,1773.056709199994,2208089,-15.193266227199274,-18.740957378759127,1800.58255109039,1747.8432911947662,52.739259895623945,27.148813871026345,80.05986710464495,57.38510143666934,0.010563133571777295,0.01520831598201866,0.017199737130022985
54,2023-09-08,1791.2366943359375,1803.0238240657147,1779.5995467050122,1795.0325827402157,2386182,-12.786432119749634,-17.55005232695723,1798.9516997588528,1748.709970163022,50.24172959583075,25.362053031541546,76.8626460751095,67.41865896878261,0.0023476303026011003,0.01250662581443529,0.01247812214559807
55,2023-09-11,1805.920654296875,1809.5166884679104,1793.2844796974975,1798.0292791842337,2316902,-9.583651530194174,-15.956772167604617,1802.6752050133496,1746.6296655921192,56.04553942123039,24.06096660280128,93.73917008267262,83.553894420809,0.008197665896064743,0.02123926952005606,0.02593352615165867
56,2023-09-12,1809.217041015625,1817.008550313904,1794.4333172866725,1817.0085503139037,3408966,-6.702175472149975,-14.10585282851369,1806.4930635296964,1744.5199369585848,61.97312657111161,23.249684875529756,87.94428320368722,86.18203312048978,0.00182532201008212,0.012409146987354625,0.022670118001252737
57,2023-09-13,1822.6024169921875,1833.989960743616,1798.6286920151467,1798.6286920151467,5931870,-3.300451411766744,-11.944772545164302,1814.4890570888906,1740.3597466220467,74.12931046684389,23.291064118331455,86.0464854435429,89.24331290996757,0.007398435717280494,0.017510652140742433,0.03067272447763325
58,2023-09-14,1819.5557861328125,1829.744570231826,1812.014003221254,1825.9986757929728,2559423,-0.8407070864391244,-9.723959453419265,1820.9614813117819,1739.4662164421243,81.4952648696576,23.329487700933026,82.31335308661053,85.43470724461353,-0.0016715828043303294,0.007550238601842896,0.018194544696816584
59,2023-09-15,1811.9141845703125,1821.4536561625675,1809.0173350743555,1814.2115933910106,4121540,0.48643728410479525,-7.681880105914454,1823.6804303819104,1743.0503557509023,80.63007463100803,23.14032112123564,72.94985899477761,80.43656584164368,-0.004199707214660897,0.0014907794330598634,0.011543695090525663
60,2023-09-18,1796.381103515625,1810.0161835906029,1792.0358903761266,1809.017278412021,3970112,0.2815731337677789,-6.089189457978007,1824.2549557779262,1746.2716677572303,77.98328802069591,21.806984289229465,53.9166875458405,69.72663320907621,-0.008572746538970888,-0.014386743500447663,-0.005282375368237946
61,2023-09-20,1787.4908447265625,1801.475517396387,1773.7558983544136,1784.993581749808,5368143,-0.5913362108799447,-4.989618808558395,1823.9733803961462,1749.1853598382286,74.78802055791766,20.9351109615992,43.023174587148816,56.62990704258897,-0.004948982580402217,-0.01762240083575517,-0.012008617980331593
62,2023-09-21,1753.77783203125,1788.8395025237369,1749.0830263092575,1782.0468983070905,4784751,-3.9578578074711004,-4.783266608340936,1825.2782120899822,1745.4481917186115,79.83002037137067,21.182873535544932,5.529354879279041,34.15640567075611,-0.01886052328311072,-0.032085599325913594,-0.037761710573454454
63,2023-09-22,1754.5269775390625,1767.9623255474414,1750.2317583709953,1756.075329362941,3710123,-6.4905812650604275,-5.124729539684835,1826.2025388616578,1742.076550493811,84.12598836784673,21.412938782780255,6.4116685710914165,18.321399345839747,0.00042716100872652873,-0.02329913507476311,-0.035738837517017674
