,Price,Close,High,Low,Open,Volume,MACD,MACD_Signal,BB_High,BB_Low,BB_Width,ADX,Stoch_K,Stoch_D,Lag_1,Lag_3,Lag_5
35,2023-08-11,599.7000122070312,611.9000244140625,598.0499877929688,611.0,1772170,-13.868646632486161,-13.654632441664518,650.2497261916716,594.540288456766,55.70943773490558,55.49706842141064,20.339055377751915,37.04203601332482,-0.016320859195559367,-0.007694156642263361,-0.0060494961906009115
36,2023-08-14,590.2999877929688,600.5,586.0,600.0,2087103,-14.703057711744236,-13.864317495680462,649.0738193620714,590.3661952863661,58.707624075705326,55.73454985646998,8.382044475960114,23.235505559219423,-0.01567454431002646,-0.040474681274360824,-0.027191826519333384
37,2023-08-16,589.7999877929688,593.0,583.0,590.2999877929688,1504238,-15.229128412453633,-14.137279679035096,647.7687972054249,586.6562150016063,61.11258220381865,56.07862332961637,12.523000592367119,13.748033482026381,-0.0008470269529725627,-0.03255972414693453,-0.024075433739965124
38,2023-08-17,584.9500122070312,591.2999877929688,584.0,589.0,1816344,-15.85463338524994,-14.480750420278067,646.3809194002458,582.6240915860824,63.756827814163444,56.39812012610944,4.0625254313151045,8.322523499880777,-0.008223085259947416,-0.024595630648258093,-0.04917100032472055
39,2023-08-18,578.4500122070312,587.6500244140625,576.9500122070312,584.0,2394208,-16.682540319660234,-14.921108400154502,644.8475698950556,578.0624398705695,66.78513002448608,56.984252689126855,2.7752087673831665,6.453578263688461,-0.011112060628010512,-0.02007449742671097,-0.05117692275501462
40,2023-08-21,585.7000122070312,590.0,580.0999755859375,582.0,1884006,-16.562723355797402,-15.249431391283084,642.4267290200494,575.5932844076849,66.83344461236447,57.11037296924577,16.634988709651218,7.824240969449828,0.012533494419575186,-0.006951467736172057,-0.023345005361058546
41,2023-08-22,583.8499755859375,590.0,583.0,590.0,1199386,-16.427681950968804,-15.485081503220227,639.9545865833819,573.23542196154,66.71916462184186,57.22748465792763,13.117807189155695,10.842668222063358,-0.0031586760842337025,-0.0018805651733270201,-0.01092666837271461
42,2023-08-23,585.75,587.9500122070312,583.3499755859375,585.0,1218953,-15.983101330668319,-15.584685468709846,637.8729409734976,571.2920675714242,66.5808734020734,57.33623122598936,20.977318789656472,16.910038229487792,0.0032543024638405083,0.012619911209122758,-0.006866713931486856
43,2023-08-24,586.4000244140625,593.8499755859375,585.0,589.0,1673004,-15.40078577653992,-15.547905530275862,634.0001186986736,570.6148898462483,63.38522885242537,56.2995218075075,22.526840183963834,18.87398872092533,0.0011097301136364646,0.001195171918118021,0.0024788651624441105
44,2023-08-25,583.2000122070312,588.75,580.0,585.0,1132264,-15.024319740373016,-15.443188372295294,630.7729147630579,569.4870950025671,61.28581976049077,55.67946598912971,14.898684580006954,19.46761451787575,-0.005457046510577435,-0.0011132369719702995,0.008211599792135482
